New York,New York,40.6943,-73.9249
Los Angeles,California,34.1139,-118.4068
Chicago,Illinois,41.8373,-87.6862
Miami,Florida,25.7839,-80.2102
Dallas,Texas,32.7936,-96.7662
Philadelphia,Pennsylvania,40.0077,-75.1339
Houston,Texas,29.7863,-95.3889
Atlanta,Georgia,33.7627,-84.4224
Washington,District of Columbia,38.9047,-77.0163
Boston,Massachusetts,42.3188,-71.0846
Phoenix,Arizona,33.5722,-112.0891
Seattle,Washington,47.6211,-122.3244
San Francisco,California,37.7562,-122.443
Detroit,Michigan,42.3834,-83.1024
San Diego,California,32.8312,-117.1225
Minneapolis,Minnesota,44.9635,-93.2678
Tampa,Florida,27.9942,-82.4451
Denver,Colorado,39.7621,-104.8759
Brooklyn,New York,40.6501,-73.9496
Queens,New York,40.7498,-73.7976
Riverside,California,33.9381,-117.3948
Baltimore,Maryland,39.3051,-76.6144
Las Vegas,Nevada,36.2333,-115.2654
Portland,Oregon,45.5372,-122.65
San Antonio,Texas,29.4658,-98.5253
St. Louis,Missouri,38.6358,-90.2451
Sacramento,California,38.5667,-121.4683
Orlando,Florida,28.4772,-81.3369
San Jose,California,37.3019,-121.8486
Cleveland,Ohio,41.4767,-81.6804
Pittsburgh,Pennsylvania,40.4396,-79.9762
Austin,Texas,30.3004,-97.7522
Cincinnati,Ohio,39.1413,-84.5061
Kansas City,Missouri,39.1239,-94.5541
Manhattan,New York,40.7834,-73.9662
Indianapolis,Indiana,39.7771,-86.1458
Columbus,Ohio,39.9862,-82.985
Charlotte,North Carolina,35.208,-80.8304
Virginia Beach,Virginia,36.7335,-76.0435
Bronx,New York,40.8501,-73.8662
Milwaukee,Wisconsin,43.0642,-87.9673
Providence,Rhode Island,41.823,-71.4187
Jacksonville,Florida,30.3322,-81.6749
Salt Lake City,Utah,40.7777,-111.9306
Nashville,Tennessee,36.1715,-86.7843
Richmond,Virginia,37.5295,-77.4756
Memphis,Tennessee,35.1046,-89.9773
Raleigh,North Carolina,35.8325,-78.6435
New Orleans,Louisiana,30.0687,-89.9288
Louisville,Kentucky,38.1663,-85.6485
Oklahoma City,Oklahoma,35.4676,-97.5136
Bridgeport,Connecticut,41.1918,-73.1953
Buffalo,New York,42.9016,-78.8487
Fort Worth,Texas,32.7811,-97.3473
Hartford,Connecticut,41.7661,-72.6834
Tucson,Arizona,32.1545,-110.8782
Omaha,Nebraska,41.2627,-96.0522
El Paso,Texas,31.8479,-106.4309
Honolulu,Hawaii,21.3294,-157.846
McAllen,Texas,26.2273,-98.2471
Hempstead,New York,40.6629,-73.6089
Albuquerque,New Mexico,35.1053,-106.6464
Birmingham,Alabama,33.5277,-86.7987
Sarasota,Florida,27.3386,-82.5431
Dayton,Ohio,39.7797,-84.1998
Rochester,New York,43.168,-77.6162
Fresno,California,36.7831,-119.7941
Allentown,Pennsylvania,40.5961,-75.4756
Tulsa,Oklahoma,36.1284,-95.9042
Cape Coral,Florida,26.6446,-81.9956
Concord,California,37.9722,-122.0016
Colorado Springs,Colorado,38.8674,-104.7606
Charleston,South Carolina,32.8153,-79.9628
Springfield,Massachusetts,42.1155,-72.5395
Grand Rapids,Michigan,42.962,-85.6562
Mission Viejo,California,33.6095,-117.655
Albany,New York,42.6664,-73.7987
Knoxville,Tennessee,35.9692,-83.9496
Bakersfield,California,35.3529,-119.0359
Ogden,Utah,41.2278,-111.9682
Baton Rouge,Louisiana,30.4418,-91.131
Akron,Ohio,41.0798,-81.5219
New Haven,Connecticut,41.3112,-72.9246
Columbia,South Carolina,34.0376,-80.9037
Mesa,Arizona,33.4017,-111.718
